open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,date
5.44,5.4,5.44,5.38,1919900.0,10383302.0,2024,10,18,9,45,2024-10-18 09:45,2024-10-18 09:45:00
5.41,5.39,5.42,5.38,974500.0,5260250.0,2024,10,18,10,0,2024-10-18 10:00,2024-10-18 10:00:00
5.38,5.35,5.4,5.33,2091000.0,11203812.0,2024,10,18,10,15,2024-10-18 10:15,2024-10-18 10:15:00
5.35,5.39,5.39,5.33,1338900.0,7168945.0,2024,10,18,10,30,2024-10-18 10:30,2024-10-18 10:30:00
5.39,5.42,5.45,5.38,1514800.0,8209401.0,2024,10,18,10,45,2024-10-18 10:45,2024-10-18 10:45:00
5.41,5.4,5.44,5.4,628500.0,3407516.0,2024,10,18,11,0,2024-10-18 11:00,2024-10-18 11:00:00
5.4,5.38,5.4,5.37,530400.0,2857719.0,2024,10,18,11,15,2024-10-18 11:15,2024-10-18 11:15:00
5.38,5.4,5.4,5.37,286800.0,1545230.0,2024,10,18,11,30,2024-10-18 11:30,2024-10-18 11:30:00
5.4,5.47,5.47,5.4,1907300.0,10373316.0,2024,10,18,13,15,2024-10-18 13:15,2024-10-18 13:15:00
5.47,5.47,5.51,5.46,2370300.0,12993124.0,2024,10,18,13,30,2024-10-18 13:30,2024-10-18 13:30:00
5.47,5.48,5.51,5.45,1012200.0,5544082.0,2024,10,18,13,45,2024-10-18 13:45,2024-10-18 13:45:00
5.47,5.51,5.52,5.47,1257300.0,6918140.0,2024,10,18,14,0,2024-10-18 14:00,2024-10-18 14:00:00
5.52,5.5,5.52,5.47,1014700.0,5568069.0,2024,10,18,14,15,2024-10-18 14:15,2024-10-18 14:15:00
5.5,5.52,5.53,5.49,1507000.0,8309229.0,2024,10,18,14,30,2024-10-18 14:30,2024-10-18 14:30:00
5.52,5.55,5.59,5.51,2721600.0,15119238.0,2024,10,18,14,45,2024-10-18 14:45,2024-10-18 14:45:00
5.53,5.49,5.55,5.49,1600300.0,8821386.0,2024,10,18,15,0,2024-10-18 15:00,2024-10-18 15:00:00
5.53,5.51,5.53,5.48,2501300.0,13774565.0,2024,10,21,9,45,2024-10-21 09:45,2024-10-21 09:45:00
5.51,5.49,5.52,5.45,1697300.0,9298160.0,2024,10,21,10,0,2024-10-21 10:00,2024-10-21 10:00:00
5.49,5.51,5.54,5.49,1850800.0,10216391.0,2024,10,21,10,15,2024-10-21 10:15,2024-10-21 10:15:00
5.51,5.5,5.52,5.47,1310700.0,7198226.0,2024,10,21,10,30,2024-10-21 10:30,2024-10-21 10:30:00
5.51,5.48,5.52,5.48,1064600.0,5850708.0,2024,10,21,10,45,2024-10-21 10:45,2024-10-21 10:45:00
5.48,5.46,5.49,5.46,1096200.0,5995650.0,2024,10,21,11,0,2024-10-21 11:00,2024-10-21 11:00:00
5.47,5.46,5.48,5.46,781600.0,4274920.0,2024,10,21,11,15,2024-10-21 11:15,2024-10-21 11:15:00
5.47,5.49,5.49,5.46,628800.0,3443549.0,2024,10,21,11,30,2024-10-21 11:30,2024-10-21 11:30:00
5.48,5.48,5.49,5.46,1719600.0,9413709.0,2024,10,21,13,15,2024-10-21 13:15,2024-10-21 13:15:00
5.47,5.44,5.47,5.44,1910700.0,10427545.0,2024,10,21,13,30,2024-10-21 13:30,2024-10-21 13:30:00
5.44,5.45,5.46,5.44,721800.0,3931231.0,2024,10,21,13,45,2024-10-21 13:45,2024-10-21 13:45:00
5.46,5.43,5.46,5.42,1270200.0,6907241.0,2024,10,21,14,0,2024-10-21 14:00,2024-10-21 14:00:00
5.43,5.43,5.44,5.42,759700.0,4123787.0,2024,10,21,14,15,2024-10-21 14:15,2024-10-21 14:15:00
5.43,5.45,5.45,5.42,649600.0,3529656.0,2024,10,21,14,30,2024-10-21 14:30,2024-10-21 14:30:00
5.44,5.45,5.46,5.44,621800.0,3386218.0,2024,10,21,14,45,2024-10-21 14:45,2024-10-21 14:45:00
5.45,5.45,5.47,5.43,1844600.0,10046711.0,2024,10,21,15,0,2024-10-21 15:00,2024-10-21 15:00:00
5.46,5.43,5.47,5.41,2417900.0,13152111.0,2024,10,22,9,45,2024-10-22 09:45,2024-10-22 09:45:00
5.43,5.44,5.45,5.42,692500.0,3763337.0,2024,10,22,10,0,2024-10-22 10:00,2024-10-22 10:00:00
5.44,5.46,5.47,5.44,922700.0,5032424.0,2024,10,22,10,15,2024-10-22 10:15,2024-10-22 10:15:00
5.45,5.46,5.47,5.44,1386900.0,7566249.0,2024,10,22,10,30,2024-10-22 10:30,2024-10-22 10:30:00
5.46,5.44,5.47,5.44,501000.0,2731495.0,2024,10,22,10,45,2024-10-22 10:45,2024-10-22 10:45:00
5.44,5.43,5.45,5.43,589400.0,3205654.0,2024,10,22,11,0,2024-10-22 11:00,2024-10-22 11:00:00
5.44,5.45,5.46,5.43,700500.0,3814905.0,2024,10,22,11,15,2024-10-22 11:15,2024-10-22 11:15:00
5.46,5.47,5.47,5.44,799300.0,4359428.0,2024,10,22,11,30,2024-10-22 11:30,2024-10-22 11:30:00
