open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,date
4.96,4.97,5.0,4.94,2351400.0,11675889.0,2024,10,18,9,45,2024-10-18 09:45,2024-10-18 09:45:00
4.97,4.97,4.98,4.95,554300.0,2754104.0,2024,10,18,10,0,2024-10-18 10:00,2024-10-18 10:00:00
4.96,4.94,4.98,4.92,902100.0,4458889.0,2024,10,18,10,15,2024-10-18 10:15,2024-10-18 10:15:00
4.93,4.97,4.97,4.93,1248900.0,6179031.0,2024,10,18,10,30,2024-10-18 10:30,2024-10-18 10:30:00
4.97,4.98,5.0,4.95,1054600.0,5253248.0,2024,10,18,10,45,2024-10-18 10:45,2024-10-18 10:45:00
4.98,4.98,5.0,4.96,591100.0,2943259.0,2024,10,18,11,0,2024-10-18 11:00,2024-10-18 11:00:00
4.97,4.96,4.98,4.96,302200.0,1500554.0,2024,10,18,11,15,2024-10-18 11:15,2024-10-18 11:15:00
4.97,4.97,4.97,4.95,233600.0,1159076.0,2024,10,18,11,30,2024-10-18 11:30,2024-10-18 11:30:00
4.97,5.03,5.03,4.97,1537500.0,7704344.0,2024,10,18,13,15,2024-10-18 13:15,2024-10-18 13:15:00
5.03,5.02,5.07,5.02,1194200.0,6016760.0,2024,10,18,13,30,2024-10-18 13:30,2024-10-18 13:30:00
5.03,5.04,5.05,5.01,621500.0,3127462.0,2024,10,18,13,45,2024-10-18 13:45,2024-10-18 13:45:00
5.04,5.07,5.07,5.04,754500.0,3811920.0,2024,10,18,14,0,2024-10-18 14:00,2024-10-18 14:00:00
5.06,5.06,5.07,5.04,1097700.0,5553906.0,2024,10,18,14,15,2024-10-18 14:15,2024-10-18 14:15:00
5.06,5.07,5.09,5.06,1158100.0,5877476.0,2024,10,18,14,30,2024-10-18 14:30,2024-10-18 14:30:00
5.08,5.1,5.12,5.07,2287900.0,11656443.0,2024,10,18,14,45,2024-10-18 14:45,2024-10-18 14:45:00
5.1,5.06,5.1,5.05,1309900.0,6639031.0,2024,10,18,15,0,2024-10-18 15:00,2024-10-18 15:00:00
5.08,5.04,5.1,5.03,2440100.0,12334885.0,2024,10,21,9,45,2024-10-21 09:45,2024-10-21 09:45:00
5.04,5.02,5.05,5.01,2475100.0,12428002.0,2024,10,21,10,0,2024-10-21 10:00,2024-10-21 10:00:00
5.02,5.05,5.05,5.0,1204200.0,6049947.0,2024,10,21,10,15,2024-10-21 10:15,2024-10-21 10:15:00
5.04,5.03,5.04,5.02,759000.0,3817226.0,2024,10,21,10,30,2024-10-21 10:30,2024-10-21 10:30:00
5.04,5.04,5.06,5.02,854000.0,4304029.0,2024,10,21,10,45,2024-10-21 10:45,2024-10-21 10:45:00
5.03,5.02,5.04,5.01,888900.0,4467111.0,2024,10,21,11,0,2024-10-21 11:00,2024-10-21 11:00:00
5.02,5.02,5.04,5.01,506100.0,2540069.0,2024,10,21,11,15,2024-10-21 11:15,2024-10-21 11:15:00
5.02,5.04,5.04,5.01,579400.0,2911600.0,2024,10,21,11,30,2024-10-21 11:30,2024-10-21 11:30:00
5.03,5.04,5.05,5.02,2374400.0,11947393.0,2024,10,21,13,15,2024-10-21 13:15,2024-10-21 13:15:00
5.04,5.01,5.04,5.0,1446800.0,7260338.0,2024,10,21,13,30,2024-10-21 13:30,2024-10-21 13:30:00
5.01,5.05,5.05,5.01,749100.0,3765907.0,2024,10,21,13,45,2024-10-21 13:45,2024-10-21 13:45:00
5.04,5.01,5.05,5.01,588600.0,2954975.0,2024,10,21,14,0,2024-10-21 14:00,2024-10-21 14:00:00
5.01,5.05,5.05,5.01,929900.0,4674942.0,2024,10,21,14,15,2024-10-21 14:15,2024-10-21 14:15:00
5.04,5.05,5.05,5.03,414800.0,2088618.0,2024,10,21,14,30,2024-10-21 14:30,2024-10-21 14:30:00
5.04,5.04,5.06,5.04,688100.0,3475323.0,2024,10,21,14,45,2024-10-21 14:45,2024-10-21 14:45:00
5.04,5.04,5.05,5.03,664600.0,3349510.0,2024,10,21,15,0,2024-10-21 15:00,2024-10-21 15:00:00
5.04,5.06,5.08,5.01,2543400.0,12846190.0,2024,10,22,9,45,2024-10-22 09:45,2024-10-22 09:45:00
5.06,5.08,5.09,5.05,1809100.0,9174433.0,2024,10,22,10,0,2024-10-22 10:00,2024-10-22 10:00:00
5.07,5.08,5.11,5.07,1985900.0,10119621.0,2024,10,22,10,15,2024-10-22 10:15,2024-10-22 10:15:00
5.08,5.09,5.1,5.07,712000.0,3618890.0,2024,10,22,10,30,2024-10-22 10:30,2024-10-22 10:30:00
5.09,5.06,5.09,5.06,330700.0,1677293.0,2024,10,22,10,45,2024-10-22 10:45,2024-10-22 10:45:00
5.06,5.08,5.09,5.05,541200.0,2744148.0,2024,10,22,11,0,2024-10-22 11:00,2024-10-22 11:00:00
5.08,5.07,5.08,5.06,314700.0,1594787.0,2024,10,22,11,15,2024-10-22 11:15,2024-10-22 11:15:00
5.06,5.08,5.08,5.06,353200.0,1790708.0,2024,10,22,11,30,2024-10-22 11:30,2024-10-22 11:30:00
5.08,5.08,5.1,5.08,811900.0,4131359.0,2024,10,22,13,15,2024-10-22 13:15,2024-10-22 13:15:00
5.09,5.08,5.09,5.07,299200.0,1520691.0,2024,10,22,13,30,2024-10-22 13:30,2024-10-22 13:30:00
5.09,5.07,5.1,5.07,693600.0,3528876.0,2024,10,22,13,45,2024-10-22 13:45,2024-10-22 13:45:00
5.08,5.11,5.12,5.07,1786300.0,9113287.0,2024,10,22,14,0,2024-10-22 14:00,2024-10-22 14:00:00
5.12,5.12,5.13,5.11,536000.0,2743728.0,2024,10,22,14,15,2024-10-22 14:15,2024-10-22 14:15:00
5.11,5.14,5.15,5.11,1277600.0,6559150.0,2024,10,22,14,30,2024-10-22 14:30,2024-10-22 14:30:00
5.14,5.16,5.18,5.13,1838400.0,9484716.0,2024,10,22,14,45,2024-10-22 14:45,2024-10-22 14:45:00
5.16,5.18,5.18,5.16,1383700.0,7162173.0,2024,10,22,15,0,2024-10-22 15:00,2024-10-22 15:00:00
5.18,5.45,5.47,5.16,12032600.0,64617176.0,2024,10,23,9,45,2024-10-23 09:45,2024-10-23 09:45:00
5.45,5.49,5.5,5.37,6391300.0,34728992.0,2024,10,23,10,0,2024-10-23 10:00,2024-10-23 10:00:00
5.49,5.59,5.6,5.48,8954700.0,49575312.0,2024,10,23,10,15,2024-10-23 10:15,2024-10-23 10:15:00
5.59,5.61,5.65,5.57,6107200.0,34261804.0,2024,10,23,10,30,2024-10-23 10:30,2024-10-23 10:30:00
5.62,5.59,5.64,5.53,8470500.0,47276188.0,2024,10,23,10,45,2024-10-23 10:45,2024-10-23 10:45:00
5.59,5.63,5.64,5.57,2265200.0,12686032.0,2024,10,23,11,0,2024-10-23 11:00,2024-10-23 11:00:00
5.64,5.7,5.7,5.62,18514500.0,105277744.0,2024,10,23,11,15,2024-10-23 11:15,2024-10-23 11:15:00
5.7,5.7,5.7,5.7,1803900.0,10282430.0,2024,10,23,11,30,2024-10-23 11:30,2024-10-23 11:30:00
5.7,5.7,5.7,5.7,2713100.0,15464670.0,2024,10,23,13,15,2024-10-23 13:15,2024-10-23 13:15:00
5.7,5.7,5.7,5.7,784200.0,4469940.0,2024,10,23,13,30,2024-10-23 13:30,2024-10-23 13:30:00
5.7,5.7,5.7,5.7,1373100.0,7826328.0,2024,10,23,13,45,2024-10-23 13:45,2024-10-23 13:45:00
5.7,5.7,5.7,5.7,835900.0,4765091.0,2024,10,23,14,0,2024-10-23 14:00,2024-10-23 14:00:00
5.7,5.7,5.7,5.7,752200.0,4287540.0,2024,10,23,14,15,2024-10-23 14:15,2024-10-23 14:15:00
5.7,5.7,5.7,5.7,349000.0,1989300.0,2024,10,23,14,30,2024-10-23 14:30,2024-10-23 14:30:00
5.7,5.7,5.7,5.7,422300.0,2407122.0,2024,10,23,14,45,2024-10-23 14:45,2024-10-23 14:45:00
5.7,5.7,5.7,5.7,502400.0,2863680.0,2024,10,23,15,0,2024-10-23 15:00,2024-10-23 15:00:00
5.73,5.53,5.78,5.43,22879300.0,127821360.0,2024,10,24,9,45,2024-10-24 09:45,2024-10-24 09:45:00
5.52,5.51,5.58,5.49,5502400.0,30420696.0,2024,10,24,10,0,2024-10-24 10:00,2024-10-24 10:00:00
5.51,5.48,5.54,5.47,3137800.0,17260380.0,2024,10,24,10,15,2024-10-24 10:15,2024-10-24 10:15:00
5.48,5.48,5.51,5.45,3525200.0,19288236.0,2024,10,24,10,30,2024-10-24 10:30,2024-10-24 10:30:00
5.47,5.47,5.49,5.46,1673000.0,9159851.0,2024,10,24,10,45,2024-10-24 10:45,2024-10-24 10:45:00
5.47,5.45,5.48,5.45,1283200.0,7003868.0,2024,10,24,11,0,2024-10-24 11:00,2024-10-24 11:00:00
5.45,5.48,5.48,5.44,1519100.0,8300858.0,2024,10,24,11,15,2024-10-24 11:15,2024-10-24 11:15:00
5.47,5.54,5.55,5.47,2727100.0,15016485.0,2024,10,24,11,30,2024-10-24 11:30,2024-10-24 11:30:00
5.54,5.58,5.6,5.5,3163200.0,17589504.0,2024,10,24,13,15,2024-10-24 13:15,2024-10-24 13:15:00
5.56,5.54,5.59,5.51,1986200.0,11013674.0,2024,10,24,13,30,2024-10-24 13:30,2024-10-24 13:30:00
5.53,5.54,5.55,5.51,946800.0,5233719.0,2024,10,24,13,45,2024-10-24 13:45,2024-10-24 13:45:00
5.53,5.53,5.54,5.51,917200.0,5069351.0,2024,10,24,14,0,2024-10-24 14:00,2024-10-24 14:00:00
5.54,5.6,5.6,5.53,2085200.0,11598614.0,2024,10,24,14,15,2024-10-24 14:15,2024-10-24 14:15:00
5.59,5.55,5.62,5.55,3280600.0,18338120.0,2024,10,24,14,30,2024-10-24 14:30,2024-10-24 14:30:00
5.56,5.62,5.62,5.56,2411900.0,13476145.0,2024,10,24,14,45,2024-10-24 14:45,2024-10-24 14:45:00
5.61,5.58,5.62,5.56,4936600.0,27579100.0,2024,10,24,15,0,2024-10-24 15:00,2024-10-24 15:00:00
5.55,5.49,5.64,5.49,6355200.0,35260232.0,2024,10,25,9,45,2024-10-25 09:45,2024-10-25 09:45:00
5.49,5.49,5.52,5.47,3519100.0,19318120.0,2024,10,25,10,0,2024-10-25 10:00,2024-10-25 10:00:00
5.5,5.49,5.5,5.45,4428900.0,24225960.0,2024,10,25,10,15,2024-10-25 10:15,2024-10-25 10:15:00
5.49,5.49,5.52,5.47,1745300.0,9583659.0,2024,10,25,10,30,2024-10-25 10:30,2024-10-25 10:30:00
5.5,5.48,5.51,5.48,1217000.0,6681780.0,2024,10,25,10,45,2024-10-25 10:45,2024-10-25 10:45:00
5.48,5.49,5.51,5.48,1192600.0,6556483.0,2024,10,25,11,0,2024-10-25 11:00,2024-10-25 11:00:00
5.5,5.49,5.5,5.47,2148700.0,11784103.0,2024,10,25,11,15,2024-10-25 11:15,2024-10-25 11:15:00
5.49,5.52,5.52,5.47,2786300.0,15298652.0,2024,10,25,11,30,2024-10-25 11:30,2024-10-25 11:30:00
5.53,5.53,5.58,5.52,2687400.0,14885879.0,2024,10,25,13,15,2024-10-25 13:15,2024-10-25 13:15:00
5.53,5.56,5.57,5.52,1319600.0,7320784.0,2024,10,25,13,30,2024-10-25 13:30,2024-10-25 13:30:00
5.55,5.56,5.57,5.53,1351400.0,7504302.0,2024,10,25,13,45,2024-10-25 13:45,2024-10-25 13:45:00
5.57,5.55,5.57,5.54,1241700.0,6893240.0,2024,10,25,14,0,2024-10-25 14:00,2024-10-25 14:00:00
5.56,5.56,5.56,5.53,1088700.0,6039496.0,2024,10,25,14,15,2024-10-25 14:15,2024-10-25 14:15:00
5.56,5.54,5.57,5.54,1367200.0,7591403.0,2024,10,25,14,30,2024-10-25 14:30,2024-10-25 14:30:00
5.54,5.56,5.57,5.54,1842800.0,10235334.0,2024,10,25,14,45,2024-10-25 14:45,2024-10-25 14:45:00
5.55,5.57,5.59,5.55,3538900.0,19703632.0,2024,10,25,15,0,2024-10-25 15:00,2024-10-25 15:00:00
5.58,5.59,5.62,5.53,4962800.0,27626636.0,2024,10,28,9,45,2024-10-28 09:45,2024-10-28 09:45:00
5.59,5.77,5.81,5.59,13580200.0,77513456.0,2024,10,28,10,0,2024-10-28 10:00,2024-10-28 10:00:00
5.78,5.85,5.93,5.77,10649200.0,62130480.0,2024,10,28,10,15,2024-10-28 10:15,2024-10-28 10:15:00
5.85,5.88,5.94,5.83,5652500.0,33255700.0,2024,10,28,10,30,2024-10-28 10:30,2024-10-28 10:30:00
5.88,5.91,5.92,5.88,2200100.0,12994070.0,2024,10,28,10,45,2024-10-28 10:45,2024-10-28 10:45:00
5.92,5.94,5.99,5.91,3421400.0,20375588.0,2024,10,28,11,0,2024-10-28 11:00,2024-10-28 11:00:00
5.94,5.98,6.0,5.92,3276200.0,19557516.0,2024,10,28,11,15,2024-10-28 11:15,2024-10-28 11:15:00
5.99,5.99,6.02,5.96,2757700.0,16514831.0,2024,10,28,11,30,2024-10-28 11:30,2024-10-28 11:30:00
5.99,5.93,6.0,5.91,2121300.0,12620344.0,2024,10,28,13,15,2024-10-28 13:15,2024-10-28 13:15:00
5.93,5.94,5.96,5.92,2446400.0,14522840.0,2024,10,28,13,30,2024-10-28 13:30,2024-10-28 13:30:00
5.94,5.9,5.95,5.88,2313800.0,13664994.0,2024,10,28,13,45,2024-10-28 13:45,2024-10-28 13:45:00
5.92,5.94,5.95,5.91,1205900.0,7158237.0,2024,10,28,14,0,2024-10-28 14:00,2024-10-28 14:00:00
5.93,5.91,5.94,5.9,1266900.0,7503636.0,2024,10,28,14,15,2024-10-28 14:15,2024-10-28 14:15:00
5.9,5.94,5.95,5.9,1168200.0,6930341.0,2024,10,28,14,30,2024-10-28 14:30,2024-10-28 14:30:00
5.95,5.97,5.97,5.93,2076700.0,12350428.0,2024,10,28,14,45,2024-10-28 14:45,2024-10-28 14:45:00
5.97,5.97,5.98,5.95,3453600.0,20600474.0,2024,10,28,15,0,2024-10-28 15:00,2024-10-28 15:00:00
5.95,5.99,6.03,5.84,8415300.0,50033996.0,2024,10,29,9,45,2024-10-29 09:45,2024-10-29 09:45:00
5.99,5.93,6.07,5.92,5579500.0,33522238.0,2024,10,29,10,0,2024-10-29 10:00,2024-10-29 10:00:00
5.92,5.96,5.96,5.89,2109800.0,12492856.0,2024,10,29,10,15,2024-10-29 10:15,2024-10-29 10:15:00
5.95,5.93,5.96,5.91,1301400.0,7732334.0,2024,10,29,10,30,2024-10-29 10:30,2024-10-29 10:30:00
5.92,5.92,5.95,5.9,1585300.0,9378085.0,2024,10,29,10,45,2024-10-29 10:45,2024-10-29 10:45:00
5.91,5.92,5.94,5.9,986200.0,5837043.0,2024,10,29,11,0,2024-10-29 11:00,2024-10-29 11:00:00
5.92,5.92,5.93,5.9,869300.0,5138592.0,2024,10,29,11,15,2024-10-29 11:15,2024-10-29 11:15:00
5.92,5.87,5.93,5.87,1846500.0,10881267.0,2024,10,29,11,30,2024-10-29 11:30,2024-10-29 11:30:00
5.87,5.87,5.88,5.82,2546500.0,14904040.0,2024,10,29,13,15,2024-10-29 13:15,2024-10-29 13:15:00
5.87,5.88,5.9,5.86,1579300.0,9285111.0,2024,10,29,13,30,2024-10-29 13:30,2024-10-29 13:30:00
5.89,5.91,5.92,5.88,1924400.0,11354347.0,2024,10,29,13,45,2024-10-29 13:45,2024-10-29 13:45:00
5.9,5.85,5.9,5.84,2230400.0,13081656.0,2024,10,29,14,0,2024-10-29 14:00,2024-10-29 14:00:00
5.85,5.83,5.86,5.82,1648200.0,9622025.0,2024,10,29,14,15,2024-10-29 14:15,2024-10-29 14:15:00
5.84,5.89,5.89,5.83,2057900.0,12067897.0,2024,10,29,14,30,2024-10-29 14:30,2024-10-29 14:30:00
5.88,5.9,5.92,5.87,3206400.0,18908356.0,2024,10,29,14,45,2024-10-29 14:45,2024-10-29 14:45:00
5.9,5.89,5.91,5.85,2201400.0,12955270.0,2024,10,29,15,0,2024-10-29 15:00,2024-10-29 15:00:00
5.8,5.88,6.03,5.78,6172100.0,36513544.0,2024,10,30,9,45,2024-10-30 09:45,2024-10-30 09:45:00
5.88,6.22,6.23,5.88,10674500.0,65007468.0,2024,10,30,10,0,2024-10-30 10:00,2024-10-30 10:00:00
6.22,6.19,6.24,6.13,6313400.0,39136584.0,2024,10,30,10,15,2024-10-30 10:15,2024-10-30 10:15:00
6.2,6.12,6.22,6.1,2270300.0,14024903.0,2024,10,30,10,30,2024-10-30 10:30,2024-10-30 10:30:00
6.12,6.14,6.16,6.09,1699500.0,10393710.0,2024,10,30,10,45,2024-10-30 10:45,2024-10-30 10:45:00
6.14,6.16,6.18,6.12,1932200.0,11875879.0,2024,10,30,11,0,2024-10-30 11:00,2024-10-30 11:00:00
6.15,6.16,6.19,6.13,1158100.0,7142720.0,2024,10,30,11,15,2024-10-30 11:15,2024-10-30 11:15:00
6.16,6.02,6.17,6.02,1721100.0,10453576.0,2024,10,30,11,30,2024-10-30 11:30,2024-10-30 11:30:00
6.03,6.02,6.05,6.0,2133300.0,12850218.0,2024,10,30,13,15,2024-10-30 13:15,2024-10-30 13:15:00
6.01,6.01,6.02,5.98,1297900.0,7789909.0,2024,10,30,13,30,2024-10-30 13:30,2024-10-30 13:30:00
6.01,6.04,6.07,5.99,1420800.0,8558014.0,2024,10,30,13,45,2024-10-30 13:45,2024-10-30 13:45:00
6.05,6.06,6.12,6.04,2483800.0,15093189.0,2024,10,30,14,0,2024-10-30 14:00,2024-10-30 14:00:00
6.06,6.03,6.08,6.03,953900.0,5777361.0,2024,10,30,14,15,2024-10-30 14:15,2024-10-30 14:15:00
6.03,6.04,6.06,6.03,914000.0,5530022.0,2024,10,30,14,30,2024-10-30 14:30,2024-10-30 14:30:00
6.04,6.05,6.06,6.04,947100.0,5726597.0,2024,10,30,14,45,2024-10-30 14:45,2024-10-30 14:45:00
6.05,6.05,6.06,6.04,1622100.0,9816382.0,2024,10,30,15,0,2024-10-30 15:00,2024-10-30 15:00:00
6.15,6.18,6.22,6.08,7597600.0,46828464.0,2024,10,31,9,45,2024-10-31 09:45,2024-10-31 09:45:00
6.19,6.14,6.19,6.07,2908300.0,17795910.0,2024,10,31,10,0,2024-10-31 10:00,2024-10-31 10:00:00
6.15,6.11,6.15,6.07,1958100.0,11962977.0,2024,10,31,10,15,2024-10-31 10:15,2024-10-31 10:15:00
6.1,6.06,6.11,6.05,2038000.0,12384509.0,2024,10,31,10,30,2024-10-31 10:30,2024-10-31 10:30:00
6.07,6.12,6.12,6.06,1467000.0,8936391.0,2024,10,31,10,45,2024-10-31 10:45,2024-10-31 10:45:00
6.11,6.09,6.11,6.06,1014500.0,6176195.0,2024,10,31,11,0,2024-10-31 11:00,2024-10-31 11:00:00
6.09,6.06,6.09,6.04,1142300.0,6925094.0,2024,10,31,11,15,2024-10-31 11:15,2024-10-31 11:15:00
6.06,6.06,6.09,6.05,1231700.0,7481357.0,2024,10,31,11,30,2024-10-31 11:30,2024-10-31 11:30:00
6.07,6.16,6.2,6.06,4684100.0,28834552.0,2024,10,31,13,15,2024-10-31 13:15,2024-10-31 13:15:00
6.15,6.17,6.18,6.14,896400.0,5517764.0,2024,10,31,13,30,2024-10-31 13:30,2024-10-31 13:30:00
6.17,6.12,6.17,6.11,516200.0,3166590.0,2024,10,31,13,45,2024-10-31 13:45,2024-10-31 13:45:00
6.12,6.1,6.12,6.06,1128000.0,6875612.0,2024,10,31,14,0,2024-10-31 14:00,2024-10-31 14:00:00
6.1,6.11,6.12,6.09,477000.0,2912403.0,2024,10,31,14,15,2024-10-31 14:15,2024-10-31 14:15:00
6.11,6.13,6.13,6.1,544100.0,3329597.0,2024,10,31,14,30,2024-10-31 14:30,2024-10-31 14:30:00
6.13,6.11,6.15,6.11,1184100.0,7253396.0,2024,10,31,14,45,2024-10-31 14:45,2024-10-31 14:45:00
6.12,6.12,6.13,6.11,1879700.0,11508961.0,2024,10,31,15,0,2024-10-31 15:00,2024-10-31 15:00:00
6.18,5.97,6.18,5.96,5294600.0,32057632.0,2024,11,1,9,45,2024-11-01 09:45,2024-11-01 09:45:00
5.96,5.94,6.01,5.93,3937400.0,23537256.0,2024,11,1,10,0,2024-11-01 10:00,2024-11-01 10:00:00
5.94,5.91,5.97,5.88,5982300.0,35415296.0,2024,11,1,10,15,2024-11-01 10:15,2024-11-01 10:15:00
5.91,5.99,6.01,5.89,2660700.0,15849788.0,2024,11,1,10,30,2024-11-01 10:30,2024-11-01 10:30:00
6.0,6.03,6.04,5.96,1691700.0,10152186.0,2024,11,1,10,45,2024-11-01 10:45,2024-11-01 10:45:00
6.01,6.01,6.04,5.99,1464000.0,8813794.0,2024,11,1,11,0,2024-11-01 11:00,2024-11-01 11:00:00
6.01,5.98,6.04,5.96,1389800.0,8316384.0,2024,11,1,11,15,2024-11-01 11:15,2024-11-01 11:15:00
5.98,6.0,6.01,5.97,687200.0,4115076.0,2024,11,1,11,30,2024-11-01 11:30,2024-11-01 11:30:00
6.01,5.99,6.02,5.97,887700.0,5327917.0,2024,11,1,13,15,2024-11-01 13:15,2024-11-01 13:15:00
5.99,5.97,6.01,5.96,756700.0,4525284.0,2024,11,1,13,30,2024-11-01 13:30,2024-11-01 13:30:00
5.97,5.96,5.98,5.95,1241100.0,7397695.0,2024,11,1,13,45,2024-11-01 13:45,2024-11-01 13:45:00
5.96,5.99,5.99,5.95,1010400.0,6025896.0,2024,11,1,14,0,2024-11-01 14:00,2024-11-01 14:00:00
5.98,5.98,6.0,5.97,910300.0,5450203.0,2024,11,1,14,15,2024-11-01 14:15,2024-11-01 14:15:00
5.98,6.0,6.0,5.96,568100.0,3397524.0,2024,11,1,14,30,2024-11-01 14:30,2024-11-01 14:30:00
6.0,5.98,6.0,5.97,743300.0,4446558.0,2024,11,1,14,45,2024-11-01 14:45,2024-11-01 14:45:00
5.97,5.97,5.99,5.96,1753800.0,10471946.0,2024,11,1,15,0,2024-11-01 15:00,2024-11-01 15:00:00
5.94,5.93,5.98,5.9,3531800.0,20954364.0,2024,11,4,9,45,2024-11-04 09:45,2024-11-04 09:45:00
5.95,5.9,5.96,5.89,1611100.0,9551425.0,2024,11,4,10,0,2024-11-04 10:00,2024-11-04 10:00:00
5.9,5.93,5.94,5.88,2996300.0,17682300.0,2024,11,4,10,15,2024-11-04 10:15,2024-11-04 10:15:00
5.94,5.93,5.97,5.93,1095900.0,6522073.0,2024,11,4,10,30,2024-11-04 10:30,2024-11-04 10:30:00
5.94,5.91,5.95,5.9,458900.0,2712983.0,2024,11,4,10,45,2024-11-04 10:45,2024-11-04 10:45:00
5.9,5.89,5.91,5.89,1382700.0,8144995.0,2024,11,4,11,0,2024-11-04 11:00,2024-11-04 11:00:00
5.89,5.89,5.9,5.86,942400.0,5538446.0,2024,11,4,11,15,2024-11-04 11:15,2024-11-04 11:15:00
5.88,5.87,5.9,5.85,556900.0,3272160.0,2024,11,4,11,30,2024-11-04 11:30,2024-11-04 11:30:00
5.88,5.83,5.88,5.8,1895100.0,11061491.0,2024,11,4,13,15,2024-11-04 13:15,2024-11-04 13:15:00
5.83,5.81,5.84,5.81,650300.0,3786838.0,2024,11,4,13,30,2024-11-04 13:30,2024-11-04 13:30:00
5.81,5.83,5.84,5.81,1290500.0,7505725.0,2024,11,4,13,45,2024-11-04 13:45,2024-11-04 13:45:00
5.83,5.83,5.84,5.81,495500.0,2885391.0,2024,11,4,14,0,2024-11-04 14:00,2024-11-04 14:00:00
5.84,5.83,5.85,5.83,416900.0,2433527.0,2024,11,4,14,15,2024-11-04 14:15,2024-11-04 14:15:00
5.84,5.84,5.85,5.83,529000.0,3086871.0,2024,11,4,14,30,2024-11-04 14:30,2024-11-04 14:30:00
5.84,5.86,5.86,5.83,714700.0,4182444.0,2024,11,4,14,45,2024-11-04 14:45,2024-11-04 14:45:00
5.85,5.88,5.88,5.85,1174700.0,6891523.0,2024,11,4,15,0,2024-11-04 15:00,2024-11-04 15:00:00
5.87,5.8,5.87,5.77,2609300.0,15165516.0,2024,11,5,9,45,2024-11-05 09:45,2024-11-05 09:45:00
5.8,5.8,5.82,5.75,2797000.0,16184816.0,2024,11,5,10,0,2024-11-05 10:00,2024-11-05 10:00:00
5.79,5.81,5.83,5.78,2234900.0,12938556.0,2024,11,5,10,15,2024-11-05 10:15,2024-11-05 10:15:00
5.82,5.81,5.83,5.8,1859900.0,10808927.0,2024,11,5,10,30,2024-11-05 10:30,2024-11-05 10:30:00
5.81,5.81,5.82,5.79,952700.0,5525735.0,2024,11,5,10,45,2024-11-05 10:45,2024-11-05 10:45:00
5.81,5.81,5.83,5.81,674500.0,3924084.0,2024,11,5,11,0,2024-11-05 11:00,2024-11-05 11:00:00
5.8,5.85,5.85,5.79,1247700.0,7260843.0,2024,11,5,11,15,2024-11-05 11:15,2024-11-05 11:15:00
5.85,5.85,5.86,5.81,1395800.0,8143704.0,2024,11,5,11,30,2024-11-05 11:30,2024-11-05 11:30:00
5.84,5.9,5.94,5.83,4352500.0,25603932.0,2024,11,5,13,15,2024-11-05 13:15,2024-11-05 13:15:00
5.89,5.92,5.95,5.89,2602400.0,15430795.0,2024,11,5,13,30,2024-11-05 13:30,2024-11-05 13:30:00
5.92,5.93,5.94,5.88,1567500.0,9268211.0,2024,11,5,13,45,2024-11-05 13:45,2024-11-05 13:45:00
5.94,5.92,5.94,5.91,724800.0,4294883.0,2024,11,5,14,0,2024-11-05 14:00,2024-11-05 14:00:00
5.92,5.9,5.93,5.88,810600.0,4780679.0,2024,11,5,14,15,2024-11-05 14:15,2024-11-05 14:15:00
5.9,5.91,5.92,5.89,562400.0,3321988.0,2024,11,5,14,30,2024-11-05 14:30,2024-11-05 14:30:00
5.92,5.92,5.94,5.9,1609400.0,9523200.0,2024,11,5,14,45,2024-11-05 14:45,2024-11-05 14:45:00
5.92,5.92,5.92,5.9,1175000.0,6947385.0,2024,11,5,15,0,2024-11-05 15:00,2024-11-05 15:00:00
5.94,5.86,5.94,5.83,3361300.0,19774018.0,2024,11,6,9,45,2024-11-06 09:45,2024-11-06 09:45:00
5.86,5.91,5.97,5.84,2115600.0,12508671.0,2024,11,6,10,0,2024-11-06 10:00,2024-11-06 10:00:00
