open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,up_count,down_count,date
3042.62,3042.88,3050.48,3039.97,1222685952.0,122268622848.0,2024,3,11,10,0,2024-03-11 10:00,1246,900,2024-03-11 10:00:00
3042.38,3043.7,3044.21,3035.45,591167424.0,59116769280.0,2024,3,11,10,30,2024-03-11 10:30,1100,1072,2024-03-11 10:30:00
3043.5,3041.92,3050.66,3041.0,410942080.0,41094246400.0,2024,3,11,11,0,2024-03-11 11:00,1346,859,2024-03-11 11:00:00
3041.78,3052.28,3053.45,3039.26,347909152.0,34790940672.0,2024,3,11,11,30,2024-03-11 11:30,1285,919,2024-03-11 11:30:00
3052.55,3046.88,3054.8,3046.32,451439040.0,45143932928.0,2024,3,11,13,30,2024-03-11 13:30,1551,686,2024-03-11 13:30:00
3047.23,3047.24,3051.01,3041.61,357202016.0,35720232960.0,2024,3,11,14,0,2024-03-11 14:00,1625,601,2024-03-11 14:00:00
3047.74,3056.27,3057.31,3046.5,331128640.0,33112891392.0,2024,3,11,14,30,2024-03-11 14:30,1589,645,2024-03-11 14:30:00
3056.32,3068.46,3068.46,3056.32,566036992.0,56603729920.0,2024,3,11,15,0,2024-03-11 15:00,1745,487,2024-03-11 15:00:00
3068.18,3072.01,3075.13,3061.62,1395806976.0,139580735488.0,2024,3,12,10,0,2024-03-12 10:00,1162,972,2024-03-12 10:00:00
3072.1,3051.48,3072.1,3044.86,870872832.0,87087308800.0,2024,3,12,10,30,2024-03-12 10:30,1355,821,2024-03-12 10:30:00
3051.77,3048.89,3056.62,3045.45,450162912.0,45016322048.0,2024,3,12,11,0,2024-03-12 11:00,1195,1002,2024-03-12 11:00:00
3048.49,3054.12,3059.05,3046.26,361717664.0,36171796480.0,2024,3,12,11,30,2024-03-12 11:30,1185,1036,2024-03-12 11:30:00
3054.15,3057.06,3063.86,3054.07,467120000.0,46712025088.0,2024,3,12,13,30,2024-03-12 13:30,1350,885,2024-03-12 13:30:00
3057.17,3059.46,3059.69,3050.62,439387520.0,43938783232.0,2024,3,12,14,0,2024-03-12 14:00,1425,817,2024-03-12 14:00:00
3059.34,3052.66,3061.66,3047.82,434134464.0,43413475328.0,2024,3,12,14,30,2024-03-12 14:30,1497,741,2024-03-12 14:30:00
3052.8,3055.94,3056.87,3052.5,526380320.0,52638064640.0,2024,3,12,15,0,2024-03-12 15:00,1475,777,2024-03-12 15:00:00
3053.34,3042.79,3053.86,3042.73,1304211840.0,130421211136.0,2024,3,13,10,0,2024-03-13 10:00,842,1306,2024-03-13 10:00:00
3042.64,3035.37,3043.21,3035.25,650325888.0,65032613888.0,2024,3,13,10,30,2024-03-13 10:30,631,1633,2024-03-13 10:30:00
3035.81,3043.07,3044.97,3031.9,410436480.0,41043677184.0,2024,3,13,11,0,2024-03-13 11:00,595,1662,2024-03-13 11:00:00
3043.01,3047.85,3048.57,3038.86,341370464.0,34137075712.0,2024,3,13,11,30,2024-03-13 11:30,814,1440,2024-03-13 11:30:00
3048.41,3054.56,3055.99,3046.89,393023744.0,39302406144.0,2024,3,13,13,30,2024-03-13 13:30,911,1326,2024-03-13 13:30:00
3054.53,3057.95,3061.95,3052.5,386643424.0,38664372224.0,2024,3,13,14,0,2024-03-13 14:00,1140,1077,2024-03-13 14:00:00
3057.93,3045.57,3059.53,3043.4,418052928.0,41805324288.0,2024,3,13,14,30,2024-03-13 14:30,1284,921,2024-03-13 14:30:00
3045.99,3043.83,3047.38,3038.9,520472576.0,52047282176.0,2024,3,13,15,0,2024-03-13 15:00,914,1319,2024-03-13 15:00:00
3042.41,3058.83,3060.0,3042.31,1416003456.0,141600374784.0,2024,3,14,10,0,2024-03-14 10:00,1397,760,2024-03-14 10:00:00
3059.17,3043.51,3059.17,3040.87,635132736.0,63513300992.0,2024,3,14,10,30,2024-03-14 10:30,1200,981,2024-03-14 10:30:00
3043.45,3047.19,3051.94,3043.37,372150528.0,37215084544.0,2024,3,14,11,0,2024-03-14 11:00,881,1302,2024-03-14 11:00:00
