open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,up_count,down_count,date
3165.97,3172.46,3177.46,3159.8,984717696.0,98471788544.0,2024,10,18,9,45,2024-10-18 09:45,1364,780,2024-10-18 09:45:00
3172.97,3163.75,3178.76,3163.75,498886400.0,49888657408.0,2024,10,18,10,0,2024-10-18 10:00,1156,974,2024-10-18 10:00:00
3163.71,3155.26,3173.83,3152.82,474216896.0,47421702144.0,2024,10,18,10,15,2024-10-18 10:15,1053,1123,2024-10-18 10:15:00
3155.58,3177.38,3177.38,3155.32,384759136.0,38475931648.0,2024,10,18,10,30,2024-10-18 10:30,1356,843,2024-10-18 10:30:00
3178.25,3195.3,3211.49,3175.92,572766272.0,57276641280.0,2024,10,18,10,45,2024-10-18 10:45,1815,401,2024-10-18 10:45:00
3193.99,3193.73,3208.96,3188.17,365445184.0,36544532480.0,2024,10,18,11,0,2024-10-18 11:00,1858,358,2024-10-18 11:00:00
3193.11,3186.39,3195.51,3183.37,222335552.0,22233571328.0,2024,10,18,11,15,2024-10-18 11:15,1603,585,2024-10-18 11:15:00
3186.31,3190.63,3191.53,3184.29,172742976.0,17274310656.0,2024,10,18,11,30,2024-10-18 11:30,1584,600,2024-10-18 11:30:00
3191.53,3232.42,3232.42,3191.53,697684160.0,69768429568.0,2024,10,18,13,15,2024-10-18 13:15,1987,250,2024-10-18 13:15:00
3232.19,3230.99,3252.13,3223.75,646142208.0,64614236160.0,2024,10,18,13,30,2024-10-18 13:30,2137,136,2024-10-18 13:30:00
3230.14,3234.37,3240.46,3224.97,363677440.0,36367761408.0,2024,10,18,13,45,2024-10-18 13:45,2081,173,2024-10-18 13:45:00
3234.84,3262.95,3263.61,3234.56,521296576.0,52129677312.0,2024,10,18,14,0,2024-10-18 14:00,2131,133,2024-10-18 14:00:00
3262.88,3262.57,3264.43,3251.15,439899456.0,43989962752.0,2024,10,18,14,15,2024-10-18 14:15,2152,123,2024-10-18 14:15:00
3262.87,3282.21,3284.07,3262.79,553696768.0,55369695232.0,2024,10,18,14,30,2024-10-18 14:30,2202,88,2024-10-18 14:30:00
3282.55,3289.27,3313.98,3282.55,729232960.0,72923308032.0,2024,10,18,14,45,2024-10-18 14:45,2245,47,2024-10-18 14:45:00
3288.67,3261.56,3288.69,3259.47,651987200.0,65198735360.0,2024,10,18,15,0,2024-10-18 15:00,2203,75,2024-10-18 15:00:00
3276.06,3267.01,3277.92,3250.11,1876211968.0,187621212160.0,2024,10,21,9,45,2024-10-21 09:45,1714,465,2024-10-21 09:45:00
3266.92,3243.61,3267.03,3239.1,931302528.0,93130260480.0,2024,10,21,10,0,2024-10-21 10:00,1270,943,2024-10-21 10:00:00
3243.19,3275.34,3275.34,3243.19,664309504.0,66430967808.0,2024,10,21,10,15,2024-10-21 10:15,1237,990,2024-10-21 10:15:00
3275.98,3282.45,3284.28,3264.99,513668416.0,51366854656.0,2024,10,21,10,30,2024-10-21 10:30,1500,708,2024-10-21 10:30:00
3282.16,3275.74,3290.59,3275.55,489681344.0,48968146944.0,2024,10,21,10,45,2024-10-21 10:45,1679,534,2024-10-21 10:45:00
3275.88,3269.16,3277.28,3265.69,341954496.0,34195462144.0,2024,10,21,11,0,2024-10-21 11:00,1553,660,2024-10-21 11:00:00
3269.54,3277.47,3279.13,3265.43,315316864.0,31531704320.0,2024,10,21,11,15,2024-10-21 11:15,1451,760,2024-10-21 11:15:00
3277.78,3288.32,3290.8,3274.84,361636288.0,36163645440.0,2024,10,21,11,30,2024-10-21 11:30,1564,654,2024-10-21 11:30:00
3288.69,3287.92,3300.66,3283.91,603071488.0,60307169280.0,2024,10,21,13,15,2024-10-21 13:15,1801,439,2024-10-21 13:15:00
3287.65,3269.94,3287.65,3269.32,410899264.0,41089941504.0,2024,10,21,13,30,2024-10-21 13:30,1573,653,2024-10-21 13:30:00
3270.12,3278.82,3278.84,3269.32,305549184.0,30554927104.0,2024,10,21,13,45,2024-10-21 13:45,1523,713,2024-10-21 13:45:00
3278.76,3259.89,3279.42,3259.63,340008160.0,34000830464.0,2024,10,21,14,0,2024-10-21 14:00,1528,710,2024-10-21 14:00:00
3259.82,3265.91,3270.51,3256.45,332508704.0,33250885632.0,2024,10,21,14,15,2024-10-21 14:15,1350,878,2024-10-21 14:15:00
3265.99,3263.53,3266.55,3256.79,283978752.0,28397893632.0,2024,10,21,14,30,2024-10-21 14:30,1365,872,2024-10-21 14:30:00
3263.77,3269.19,3271.83,3262.73,309556416.0,30955659264.0,2024,10,21,14,45,2024-10-21 14:45,1422,804,2024-10-21 14:45:00
3269.17,3268.11,3269.17,3262.05,478158784.0,47815888896.0,2024,10,21,15,0,2024-10-21 15:00,1381,862,2024-10-21 15:00:00
3263.82,3271.96,3281.93,3255.14,1410398208.0,141039828992.0,2024,10,22,9,45,2024-10-22 09:45,1063,1099,2024-10-22 09:45:00
3272.15,3272.41,3277.55,3262.46,715780352.0,71578058752.0,2024,10,22,10,0,2024-10-22 10:00,930,1246,2024-10-22 10:00:00
3272.27,3276.52,3282.72,3270.02,534650720.0,53465088000.0,2024,10,22,10,15,2024-10-22 10:15,1452,769,2024-10-22 10:15:00
3276.58,3281.75,3283.03,3272.42,457794432.0,45779456000.0,2024,10,22,10,30,2024-10-22 10:30,1428,782,2024-10-22 10:30:00
3282.01,3269.86,3284.96,3269.86,368137664.0,36813783040.0,2024,10,22,10,45,2024-10-22 10:45,1580,643,2024-10-22 10:45:00
3269.73,3270.77,3273.78,3266.45,307760736.0,30776090624.0,2024,10,22,11,0,2024-10-22 11:00,1354,837,2024-10-22 11:00:00
3271.23,3278.01,3281.62,3270.7,263912224.0,26391236608.0,2024,10,22,11,15,2024-10-22 11:15,1377,821,2024-10-22 11:15:00
3277.94,3285.49,3285.49,3275.07,236955488.0,23695564800.0,2024,10,22,11,30,2024-10-22 11:30,1512,698,2024-10-22 11:30:00
3285.28,3277.97,3294.96,3277.03,434879872.0,43488002048.0,2024,10,22,13,15,2024-10-22 13:15,1696,546,2024-10-22 13:15:00
3278.35,3275.44,3278.93,3272.56,286356160.0,28635631616.0,2024,10,22,13,30,2024-10-22 13:30,1480,738,2024-10-22 13:30:00
3275.63,3268.24,3280.84,3267.94,299486784.0,29948690432.0,2024,10,22,13,45,2024-10-22 13:45,1519,710,2024-10-22 13:45:00
3267.63,3269.79,3270.06,3258.97,398221504.0,39822163968.0,2024,10,22,14,0,2024-10-22 14:00,1110,1098,2024-10-22 14:00:00
3269.89,3271.56,3274.19,3267.72,244107952.0,24410808320.0,2024,10,22,14,15,2024-10-22 14:15,1377,860,2024-10-22 14:15:00
3271.8,3285.54,3285.54,3271.08,298606912.0,29860704256.0,2024,10,22,14,30,2024-10-22 14:30,1462,781,2024-10-22 14:30:00
3285.42,3277.31,3286.83,3275.12,315559104.0,31555919872.0,2024,10,22,14,45,2024-10-22 14:45,1493,742,2024-10-22 14:45:00
3277.45,3285.87,3285.87,3277.08,416004096.0,41600417792.0,2024,10,22,15,0,2024-10-22 15:00,1487,750,2024-10-22 15:00:00
3285.25,3287.59,3293.75,3277.07,1410770304.0,141077053440.0,2024,10,23,9,45,2024-10-23 09:45,1010,1107,2024-10-23 09:45:00
3287.84,3292.01,3294.14,3282.67,693059264.0,69305942016.0,2024,10,23,10,0,2024-10-23 10:00,1055,1120,2024-10-23 10:00:00
3291.66,3302.07,3304.81,3288.03,597557248.0,59755737088.0,2024,10,23,10,15,2024-10-23 10:15,1444,741,2024-10-23 10:15:00
3302.31,3303.7,3312.97,3298.72,549512576.0,54951264256.0,2024,10,23,10,30,2024-10-23 10:30,1600,610,2024-10-23 10:30:00
3303.19,3301.36,3310.5,3298.02,388797344.0,38879748096.0,2024,10,23,10,45,2024-10-23 10:45,1569,636,2024-10-23 10:45:00
3301.4,3302.58,3303.65,3298.28,294237344.0,29423747072.0,2024,10,23,11,0,2024-10-23 11:00,1289,878,2024-10-23 11:00:00
3302.6,3310.45,3311.65,3300.87,269628224.0,26962839552.0,2024,10,23,11,15,2024-10-23 11:15,1424,787,2024-10-23 11:15:00
3310.52,3311.87,3316.73,3303.97,257362592.0,25736275968.0,2024,10,23,11,30,2024-10-23 11:30,1536,671,2024-10-23 11:30:00
3312.45,3324.88,3331.08,3311.11,616986752.0,61698686976.0,2024,10,23,13,15,2024-10-23 13:15,1732,500,2024-10-23 13:15:00
3324.31,3316.13,3328.0,3315.7,388356352.0,38835650560.0,2024,10,23,13,30,2024-10-23 13:30,1777,457,2024-10-23 13:30:00
3316.67,3311.39,3322.9,3310.8,325162304.0,32516247552.0,2024,10,23,13,45,2024-10-23 13:45,1676,548,2024-10-23 13:45:00
3311.37,3312.46,3314.27,3308.48,294345120.0,29434523648.0,2024,10,23,14,0,2024-10-23 14:00,1492,725,2024-10-23 14:00:00
3312.6,3299.72,3312.68,3292.69,469008672.0,46900883456.0,2024,10,23,14,15,2024-10-23 14:15,1257,937,2024-10-23 14:15:00
